id,name,description,image,animation_url,external_url,edition,target,focus,power_rating,occurrence,country,rarity,card_group_lookup,created_date,human_impact,geocords,event_id,color_rarity_hex,color_bkgd_hex,color_card_hex,blog_post,location_name,map,travel_points,youtube_url,image_html,animation_html,special_image_html,token_quantity,price_in_usd,price_in_eth
1,#1  Common Cover (G24),"Buy an NFT to sponsor a completed project and help Give Basic Needs do more! Your purchase will help trigger a cascade of kindness, funding three new projects. Support our mission to make the world a happier place for all. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/1.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/1.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/1.html,G24,Cover,Cover,0,1 of 6850,Planet Earth,Common,Cover C-1,21-Oct-2023,9960,"0.000000, 0.000000",0,#04AC5B,#FFFFFF,#FFFFFF,https://givebasicneeds.org/giving-events,Planet Earth,"https://www.google.com/maps/place/0%C2%B000'00.0%22N+0%C2%B000'00.0%22E/@-0.0001191,-21.0936986,4z",0,https://www.youtube.com/@GiveBasicNeeds/videos,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/1.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/1.mp4,Image not available for this token.,6850,0,0
2,#2  Super Rare Borehole (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Sampemo, Ghana (9.70669,-0.31414), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/2.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/2.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/2.html,G24,Food,Borehole,92,1 of 2,Ghana,Super Rare,Borehole F-4,21-Oct-2023,600,"9.70669,-0.31414",0,#FFD633,#FFFFFF,#D3DDE1,https://givebasicneeds.org/events/borehole-project-4,"Sampemo, Ghana","https://www.google.com/maps/search/?q=near9.70669,-0.31414,&ll=9.70669,-0.31414&z=17&t=h",2227,https://youtu.be/u488gzjm6YQ,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/2.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/2.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/F-4-AB631.jpg,2,2227,1.368356375
3,#3  Rare Borehole (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Sampemo, Ghana (9.70669,-0.31414), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/3.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/3.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/3.html,G24,Food,Borehole,82,1 of 26,Ghana,Rare,Borehole F-4,21-Oct-2023,600,"9.70669,-0.31414",0,#6D41C4,#FFFFFF,#D3DDE1,https://givebasicneeds.org/events/borehole-project-4,"Sampemo, Ghana","https://www.google.com/maps/search/?q=near9.70669,-0.31414,&ll=9.70669,-0.31414&z=17&t=h",112,https://youtu.be/u488gzjm6YQ,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/3.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/3.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/F-4-AB631.jpg,26,112,0.0688172043
4,#4  Uncommon Borehole (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Sampemo, Ghana (9.70669,-0.31414), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/4.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/4.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/4.html,G24,Food,Borehole,72,1 of 101,Ghana,Uncommon,Borehole F-4,21-Oct-2023,600,"9.70669,-0.31414",0,#2C51FF,#FFFFFF,#D3DDE1,https://givebasicneeds.org/events/borehole-project-4,"Sampemo, Ghana","https://www.google.com/maps/search/?q=near9.70669,-0.31414,&ll=9.70669,-0.31414&z=17&t=h",28,https://youtu.be/u488gzjm6YQ,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/4.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/4.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/F-4-AB631.jpg,101,28,0.01720430108
5,#5  Common Borehole (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Sampemo, Ghana (9.70669,-0.31414), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/5.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/5.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/5.html,G24,Food,Borehole,62,1 of 301,Ghana,Common,Borehole F-4,21-Oct-2023,600,"9.70669,-0.31414",0,#04AC5B,#FFFFFF,#D3DDE1,https://givebasicneeds.org/events/borehole-project-4,"Sampemo, Ghana","https://www.google.com/maps/search/?q=near9.70669,-0.31414,&ll=9.70669,-0.31414&z=17&t=h",6,https://youtu.be/u488gzjm6YQ,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/5.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/5.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/F-4-AB631.jpg,301,6,0.003686635945
6,#6  Super Rare Medical Clinic (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Gushegu, Ghana (9.4388,-0.85108), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/6.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/6.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/6.html,G24,Medical,Medical Clinic,146,1 of 2,Ghana,Super Rare,Medical Clinic M-3,21-Oct-2023,800,"9.4388,-0.85108",36,#FFD633,#FFFFFF,#DE3030,https://givebasicneeds.org/events/giving-event-36,"Gushegu, Ghana","https://www.google.com/maps/search/?q=near9.4388,-0.85108,&ll=9.4388,-0.85108&z=17&t=h",3130,https://youtu.be/7s0mzKOEGoA,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/6.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/6.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/M-3-A4DA0.jpg,2,3130,1.923195084
7,#7  Rare Medical Clinic (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Gushegu, Ghana (9.4388,-0.85108), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/7.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/7.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/7.html,G24,Medical,Medical Clinic,136,1 of 26,Ghana,Rare,Medical Clinic M-3,21-Oct-2023,800,"9.4388,-0.85108",36,#6D41C4,#FFFFFF,#DE3030,https://givebasicneeds.org/events/giving-event-36,"Gushegu, Ghana","https://www.google.com/maps/search/?q=near9.4388,-0.85108,&ll=9.4388,-0.85108&z=17&t=h",157,https://youtu.be/7s0mzKOEGoA,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/7.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/7.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/M-3-A4DA0.jpg,26,157,0.09646697389
8,#8  Uncommon Medical Clinic (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Gushegu, Ghana (9.4388,-0.85108), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/8.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/8.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/8.html,G24,Medical,Medical Clinic,126,1 of 101,Ghana,Uncommon,Medical Clinic M-3,21-Oct-2023,800,"9.4388,-0.85108",36,#2C51FF,#FFFFFF,#DE3030,https://givebasicneeds.org/events/giving-event-36,"Gushegu, Ghana","https://www.google.com/maps/search/?q=near9.4388,-0.85108,&ll=9.4388,-0.85108&z=17&t=h",40,https://youtu.be/7s0mzKOEGoA,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/8.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/8.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/M-3-A4DA0.jpg,101,40,0.02457757296
9,#9  Common Medical Clinic (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Gushegu, Ghana (9.4388,-0.85108), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/9.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/9.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/9.html,G24,Medical,Medical Clinic,116,1 of 301,Ghana,Common,Medical Clinic M-3,21-Oct-2023,800,"9.4388,-0.85108",36,#04AC5B,#FFFFFF,#DE3030,https://givebasicneeds.org/events/giving-event-36,"Gushegu, Ghana","https://www.google.com/maps/search/?q=near9.4388,-0.85108,&ll=9.4388,-0.85108&z=17&t=h",8,https://youtu.be/7s0mzKOEGoA,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/9.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/9.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/M-3-A4DA0.jpg,301,8,0.004915514593
10,#10  Super Rare Food Assistance (G24),"Owning a Give Basic Needs NFT is more than just a transaction. It's a heartfelt gesture that helps us make the world a better place, one NFT at a time. By sponsoring a completed project like this one in Galwei, Ghana (10.12172,-0.04679), you enable us to allocate funds to launch a new initiative, effectively creating a ripple effect of kindness. Your single action multiplies into a sequence of projects that touch lives worldwide! Thank you for your continued support. 💟💟💟",ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/10.png,ipfs://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi/10.mp4,https://bafybeidm4idxgesr6pj5w23lq75qdnad7xvsxpilzmawzibedig6yzzx3y.ipfs.dweb.link/10.html,G24,Food,Food Assistance,94,1 of 2,Ghana,Super Rare,Food Assistance F-7,21-Oct-2023,560,"10.12172,-0.04679",31,#FFD633,#FFFFFF,#D3DDE1,https://givebasicneeds.org/events/giving-event-31,"Galwei, Ghana","https://www.google.com/maps/search/?q=near10.12172,-0.04679,&ll=10.12172,-0.04679&z=17&t=h",2440,https://youtu.be/cfVRIUk4zPU,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/10.png,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/10.mp4,https://bafybeihe4owqivc2wo2uyijrplvxb6gxrghw42rtt73ty6lknajrssbjvi.ipfs.dweb.link/F-7-1902D.jpg,2,2440,1.499231951
